status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
for_sale,410000.0,4.0,3.0,0.12,"D8 Calle Brazil, Guaynabo, PR, 00966",D8 Calle Brazil,Guaynabo,Puerto Rico,966.0,1700.0,
for_sale,30000.0,,,0.15,"3 Sector Juan Prez, Juncos, PR, 00777",3 Sector Juan Prez,Juncos,Puerto Rico,777.0,,
for_sale,49000.0,,,0.86,"3 Quebrada Seca, Ceiba, PR, 00735",3 Quebrada Seca,Ceiba,Puerto Rico,735.0,,
for_sale,165000.0,,,0.19,"1507 Calle Tamesis, San Juan, PR, 00926",1507 Calle Tamesis,San Juan,Puerto Rico,926.0,,
for_sale,700000.0,,,0.87,"3 Carolina Housing # 3, Carolina, PR, 00987",3 Carolina Housing # 3,Carolina,Puerto Rico,987.0,,
for_sale,72000.0,3.0,2.0,0.08,"421 Com Candelaria Arenas 421 Calle Laurel, Toa Baja, PR, 00949",421 Com Candelaria Arenas 421 Calle Laurel,Toa Baja,Puerto Rico,949.0,1260.0,
for_sale,170000.0,5.0,3.0,0.21,"Km 1 1 Pr # 647, Vega Alta, PR, 00692",Km 1 1 Pr # 647,Vega Alta,Puerto Rico,692.0,3080.0,
for_sale,49300.0,3.0,2.0,0.07,"220 La Ponderosa Parcela Parcel 220, Vega Alta, PR, 00692",220 La Ponderosa Parcela Parcel 220,Vega Alta,Puerto Rico,692.0,800.0,
for_sale,51450.0,3.0,1.0,0.04,"280 Calle Bartolome Las Casas, San Juan, PR, 00915",280 Calle Bartolome Las Casas,San Juan,Puerto Rico,915.0,786.0,
for_sale,145000.0,3.0,2.0,0.86,"58 Herminio Daz, Arecibo, PR, 00612",58 Herminio Daz,Arecibo,Puerto Rico,612.0,3500.0,
for_sale,91500.0,6.0,3.0,0.06,"767 S 7 St, San Juan, PR, 00921",767 S 7 St,San Juan,Puerto Rico,921.0,2016.0,
for_sale,100000.0,2.0,1.0,0.13,"215 Calle E, Vega Alta, PR, 00692",215 Calle E,Vega Alta,Puerto Rico,692.0,1694.0,
